text,label
"How is your Friday so far",date
"What do you want me to address you?",name
"who are you?",name
"What are you?",name
"your name",name
"what ?",name
"why",name
"How is your day going so far",date
"How is Sunday going",date
"I have to sign off",goodbye
"okey bye",goodbye
"see you soon",goodbye
"got to go",goodbye
"bye",goodbye
"It was a pleasure talking to you.",goodbye
"Goodbye and take care.",goodbye
"Until we chat again.",goodbye
"See you around!",goodbye
"Thank you for the conversation.",goodbye
"Have a fantastic day!",goodbye
"Goodbye, stay safe.",goodbye
"Looking forward to our next conversation.",goodbye
"Farewell, and best wishes.",goodbye
"Sending you positive vibes on your way.",goodbye
"See you on the flip side.",goodbye
"Take it easy!",goodbye
"Wishing you all the best.",goodbye
"Goodbye, and don't hesitate to return.",goodbye
"May your day be filled with joy.",goodbye
"Adieu!",goodbye
"Goodbye, until we talk again.",goodbye
"Stay well and goodbye.",goodbye
"Have a wonderful time ahead.",goodbye
"Until our paths cross again, farewell.",goodbye
"Goodbye, and remember you can always reach out.",goodbye
"Take good care of yourself.",goodbye
"See you soon, hopefully.",goodbye
"Goodbye, and have a splendid day.",goodbye
"May your journey be pleasant.",goodbye
"Farewell, and stay positive.",goodbye
"Goodbye, and enjoy the rest of your day.",goodbye
"Wishing you happiness and health.",goodbye
"Until next time, goodbye.",goodbye
"Take care, and goodbye for now.",goodbye
"See you on the other side!",goodbye
"Goodbye, and keep smiling.",goodbye
"May the day ahead be amazing for you.",goodbye
"Wishing you a fantastic farewell.",goodbye
"Goodbye, and have a fantastic journey.",goodbye
"See you soon, friend.",goodbye
"Take care, and goodbye with a smile.",goodbye
"Goodbye, and stay awesome.",goodbye
"Until we meet again, goodbye.",goodbye
"Farewell, and best of luck.",goodbye
"May your day be as bright as your spirit.",goodbye
"Goodbye, and have a great time ahead.",goodbye
"Until our next encounter, farewell.",goodbye
"Take care of yourself, and goodbye.",goodbye
"See you later, alligator!",goodbye
"Goodbye, and may your day be extraordinary.",goodbye
"Until next time, goodbye and take care.",goodbye
"Sending you positive energy as we part ways.",goodbye
"Goodbye, and stay positive.",goodbye
"May your journey be filled with positivity.",goodbye
"Until we cross paths again, farewell.",goodbye
"Goodbye, and remember to stay awesome.",goodbye
"See you soon, and take care.",goodbye
"Goodbye, and have a wonderful journey.",goodbye
"May your path be lined with happiness.",goodbye
"Farewell, and take good care of yourself.",goodbye
"Goodbye, and have an amazing day.",goodbye
"Until our next interaction, goodbye.",goodbye
"Take care, and goodbye for now.",goodbye
"See you later, and have a great day.",goodbye
"Goodbye, and may your day be filled with joy.",goodbye
"Until next time, goodbye and stay well.",goodbye
"Sending you best wishes on your way.",goodbye
"Goodbye, and keep shining.",goodbye
"May your journey be filled with positivity.",goodbye
"Until we meet again, goodbye and take care.",goodbye
"Goodbye, and may the rest of your day be splendid.",goodbye
"See you soon, and take good care of yourself.",goodbye
"Farewell, and may your path be filled with success.",goodbye
"Goodbye, and have a fantastic day ahead.",goodbye
"Until next time, goodbye and stay positive.",goodbye
"Sending you positive vibes for the rest of the day.",goodbye
"Goodbye, and may your journey be peaceful.",goodbye
"See you soon, and take care of yourself.",goodbye
"May your day be as wonderful as our conversation.",goodbye
"Until our next meeting, goodbye.",goodbye
"Goodbye, and have a splendid time ahead.",goodbye
"Wishing you a cheerful farewell.",goodbye
"Goodbye, and keep spreading positivity.",goodbye
"May your journey be filled with happiness and success.",goodbye
"Until we meet again, goodbye and stay well.",goodbye
"Take care, and goodbye with a smile.",goodbye
"See you later, and have an awesome day.",goodbye
"Goodbye, and may your day be extraordinary.",goodbye
"Until next time, goodbye, and take good care.",goodbye
"Sending you best wishes for the rest of the day.",goodbye
"Goodbye, and keep shining bright.",goodbye
"May your journey be filled with positivity and joy.",goodbye
"Until we cross paths again, farewell and take care.",goodbye
"Goodbye, and remember to stay awesome.",goodbye
"See you soon, and have a wonderful journey.",goodbye
"Goodbye, and may your path be filled with happiness.",goodbye
"Farewell, and take good care of yourself.",goodbye
"Goodbye, and have an amazing day ahead.",goodbye
"Until our next interaction, goodbye and stay well.",goodbye
"Take care, and goodbye for now.",goodbye
"See you later, and have a great day.",goodbye
"Goodbye, and may your day be filled with joy and laughter.",goodbye
"Until next time, goodbye and stay positive.",goodbye
"Sending you positive vibes for the rest of the day.",goodbye
"Goodbye, and may your journey be peaceful and fulfilling.",goodbye
"See you soon, and take care of yourself.",goodbye
"May your day be as wonderful as our conversation.",goodbye
"Until our next meeting, goodbye.",goodbye
"Goodbye, and have a splendid time ahead.",goodbye
"Wishing you a cheerful farewell.",goodbye
"Goodbye, and keep spreading positivity.",goodbye
"May your journey be filled with happiness and success.",goodbye
"Until we meet again, goodbye and stay well.",goodbye
"Take care, and goodbye with a smile.",goodbye
"See you later, and have an awesome day.",goodbye
"Goodbye, and may your day be extraordinary.",goodbye
"Until next time, goodbye, and take good care.",goodbye
"Sending you best wishes for the rest of the day.",goodbye
"Goodbye, and keep shining bright.",goodbye
"May your journey be filled with positivity and joy.",goodbye
